Uur;Timestamp;Druk_MPa;Druk_bar;Opslag_volume_TWh;Opslag_volume_GWh
58;2035-01-03 09:00:00;13,850217820342483;138,50217820342482;0,15661052034999925;156,61052034999926
59;2035-01-03 10:00:00;13,858314409319332;138,5831440931933;0,1567720459333326;156,7720459333326
60;2035-01-03 11:00:00;13,866116587701443;138,66116587701444;0,15692769807499926;156,92769807499926
61;2035-01-03 12:00:00;13,873801820023008;138,73801820023007;0,15708101716249925;157,08101716249925
62;2035-01-03 13:00:00;13,88162341398294;138,8162341398294;0,15723705664166593;157,23705664166593
63;2035-01-03 14:00:00;13,892474962152153;138,92474962152153;0,1574535431958326;157,4535431958326
64;2035-01-03 15:00:00;13,904141679917311;139,0414167991731;0,1576862922458326;157,68629224583262
65;2035-01-03 16:00:00;13,915857250226157;139,15857250226156;0,1579200158958326;157,9200158958326
66;2035-01-03 17:00:00;13,927396973182416;139,27396973182417;0,1581502314208326;158,1502314208326
67;2035-01-03 18:00:00;13,93874203910312;139,3874203910312;0,1583765635708326;158,3765635708326
68;2035-01-03 19:00:00;13,950177911138878;139,50177911138877;0,15860470728749929;158,60470728749928
69;2035-01-03 20:00:00;13,961766181916115;139,61766181916116;0,15883589133333262;158,83589133333263
70;2035-01-03 21:00:00;13,97346825440816;139,7346825440816;0,15906934570416595;159,06934570416595
71;2035-01-03 22:00:00;13,985177759920493;139,85177759920492;0,15930294836249928;159,30294836249928
72;2035-01-03 23:00:00;13,997069721028463;139,97069721028464;0,15954019097916594;159,54019097916594
73;2035-01-04 00:00:00;14,00917449638494;140,0917449638494;0,15978167920416594;159,78167920416595
74;2035-01-04 01:00:00;14,02139341681753;140,21393416817529;0,16002544460416593;160,02544460416593
75;2035-01-04 02:00:00;14,033729730682872;140,3372973068287;0,16027155198333262;160,2715519833326
76;2035-01-04 03:00:00;14,04605131050541;140,4605131050541;0,16051736542083261;160,51736542083262
77;2035-01-04 04:00:00;14,058323484521434;140,58323484521435;0,1607621932208326;160,7621932208326
78;2035-01-04 05:00:00;14,070496505442838;140,70496505442838;0,1610050429333326;161,0050429333326
79;2035-01-04 06:00:00;14,082424507582585;140,82424507582584;0,16124300456249926;161,24300456249927
80;2035-01-04 07:00:00;14,093936669110983;140,93936669110983;0,16147267024166595;161,47267024166595
81;2035-01-04 08:00:00;14,105543275256395;141,05543275256395;0,16170422007499927;161,70422007499926
82;2035-01-04 09:00:00;14,117159597440578;141,1715959744058;0,16193596374166594;161,93596374166594
83;2035-01-04 10:00:00;14,128694568268072;141,2869456826807;0,16216608446249928;162,16608446249927
84;2035-01-04 11:00:00;14,140209668000109;141,40209668000108;0,16239580875833262;162,39580875833263
85;2035-01-04 12:00:00;14,151713907155704;141,51713907155704;0,16262531638749927;162,62531638749928
86;2035-01-04 13:00:00;14,1632531493226;141,632531493226;0,1628555223208326;162,85552232083262
87;2035-01-04 14:00:00;14,17484056190544;141,74840561905438;0,1630866892458326;163,08668924583262
88;2035-01-04 15:00:00;14,186510449496916;141,86510449496916;0,1633195015333326;163,3195015333326
