Time (days), Pressure (MPa), Temperature (K)
9.071676473876236457e+01,9.569897616980984623e+00,3.008609355198518642e+02
9.585859007388434350e+01,9.508482600804862628e+00,3.006723806456269017e+02
9.973558136935069740e+01,9.472088517144937825e+00,3.005606444238639483e+02
1.004443772563074901e+02,9.977273059376745579e+00,3.021116495973826659e+02
1.004688184937887883e+02,1.057690891396407196e+01,3.039526368702385071e+02
1.041350041159791431e+02,9.391501617612247443e+00,3.003132285042460694e+02
1.044649608219762911e+02,9.739844989785810370e+00,3.013827037696912043e+02
1.057481257897429430e+02,1.032734948315316181e+01,3.031864456352927277e+02
1.068846433326219483e+02,1.073093387516768082e+01,3.044255205230566048e+02
1.078745134506133354e+02,1.135873181830137746e+01,3.063529703484670677e+02
1.093898701744520281e+02,1.197080231813917806e+01,3.082321341637585874e+02
1.096342825492647250e+02,1.253439069938715100e+01,3.099624493693444833e+02
1.107969871323022630e+02,1.224360939830836692e+01,3.090696997607692538e+02
1.148735950929768137e+02,1.167315408142363253e+01,3.073183018580529620e+02
1.150235754138845721e+02,1.131778847418396161e+01,3.062272670989838161e+02
1.151535583586713472e+02,1.217423106628504037e+01,3.088566961098204615e+02
1.173018479076743290e+02,1.281737326825309253e+01,3.108312555018276271e+02
1.179303368714783744e+02,1.322067913411715345e+01,3.120694752654453623e+02
1.194329968485735378e+02,1.375950063245889154e+01,3.137237517954418990e+02
1.212927528278300997e+02,1.414612869004094620e+01,3.149107677617025729e+02
1.217326951024929826e+02,1.456401075777900722e+01,3.161937390223018838e+02
1.238381331312365887e+02,1.362907804958959979e+01,3.133233315848782468e+02
1.248122910251328790e+02,1.309589941871169927e+01,3.116863796479723874e+02
1.251202506173968914e+02,1.283628828860423887e+01,3.108893279327301684e+02
1.263520889864528556e+02,1.252399238977002938e+01,3.099305247345549787e+02
1.269177290538765135e+02,1.209766169546805692e+01,3.086216147081892700e+02
1.289917426344299258e+02,1.169332742535615033e+01,3.073802375631088353e+02
1.296516560464241934e+02,1.091225439911623241e+01,3.049822063421968323e+02
1.298716271837556064e+02,1.130502691238113044e+01,3.061880868653785228e+02
1.328735862343962140e+02,1.228299627276145323e+01,3.091906243753181229e+02
1.352059272640426286e+02,1.271961058944212297e+01,3.105311069265306969e+02
1.375198544202019946e+02,1.317508654579592964e+01,3.119294980205993966e+02
1.376439407027992274e+02,1.344250973928240711e+01,3.127505341409525954e+02
1.409801696189924769e+02,1.303740892711539168e+01,3.115068035772819144e+02
1.431578838785735570e+02,1.349103518416230685e+01,3.128995157699698098e+02
1.439008974980041558e+02,1.391018609325245770e+01,3.141863825961237922e+02
1.463694624836123239e+02,1.468450117046739933e+01,3.165636657279240467e+02
1.474418217781030194e+02,1.438171539230384965e+01,3.156340602686499892e+02
1.501089718182465162e+02,1.421891685736079580e+01,3.151342402052283092e+02
1.501969602731790587e+02,1.384145821825929268e+01,3.139753759623728229e+02
1.510517052639526128e+02,1.345241289129871376e+01,3.127809385550377215e+02
1.518687409168978775e+02,1.310704046473004247e+01,3.117205846138181187e+02
1.535185244468835606e+02,1.267866724532470712e+01,3.104054036770473317e+02
1.546340923576357795e+02,1.204329339089853690e+01,3.084546944748616966e+02
1.568338037309499953e+02,1.159680978224338155e+01,3.070839114658327276e+02
1.577835203873650300e+02,1.121727148121845730e+01,3.059186622960193631e+02
1.593477595861662621e+02,1.172332254925169082e+01,3.074723278557705157e+02
1.597143781483852933e+02,1.215225282095794412e+01,3.087892190408335864e+02
1.615474709594804779e+02,1.255778689602567333e+01,3.100342797976204565e+02
1.617843629535297225e+02,1.290753004064769449e+01,3.111080526100564612e+02
1.653419730784475234e+02,1.216005155317078490e+01,3.088131625169256154e+02
1.658002462812213480e+02,1.193128874159411801e+01,3.081108205515586747e+02
1.664668254852559528e+02,1.262088572938411346e+01,3.102280042860016351e+02
1.685865473540860080e+02,1.388915179836982361e+01,3.141218036206068973e+02
1.688065184914174495e+02,1.355602461926931390e+01,3.130990447374035739e+02
1.693931081909678937e+02,1.311539624924380298e+01,3.117462383382024314e+02
1.720746611031985935e+02,1.264914347337609613e+01,3.103147605175559534e+02
1.733002145826165190e+02,1.331872033907858288e+01,3.123704789648881501e+02
1.739287035464205928e+02,1.386908801238478617e+01,3.140602042776703797e+02
1.754496468388264248e+02,1.449343223125279678e+01,3.159770505636686835e+02
1.769747800576575969e+02,1.499879007864489111e+01,3.175285878144338767e+02
1.770432155226051520e+02,1.540779025691832693e+01,3.187842901161505438e+02
1.779719825468933720e+02,1.573360395825479330e+01,3.197845953395519700e+02
1.795117805082133486e+02,1.448147417519310665e+01,3.159403372336608413e+02
1.802890118601177107e+02,1.503934348615166350e+01,3.176530938901125296e+02
1.810809079545108204e+02,1.550102843315184842e+01,3.190705476747622242e+02
1.831846319224440833e+02,1.640653214062825072e+01,3.218506029170143279e+02
1.833874624516717518e+02,1.594132257179681034e+01,3.204223279249879965e+02
1.856563076110044221e+02,1.550258817959441515e+01,3.190753363699806187e+02
1.864042094779312606e+02,1.505338120413477654e+01,3.176961921470782499e+02
1.883839497139140633e+02,1.458805684876860020e+01,3.162675647402522827e+02
1.891838447587556118e+02,1.427705286112924554e+01,3.153127279360963939e+02
